"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","Link","Language of Original Document","Document Type","Source"
"Blaya F.; Nuere S.; Islán M.; Reyes-Téllez F.","Blaya, Fernando (57192814243); Nuere, Silvia (58899200100); Islán, Manuel (57205096036); Reyes-Téllez, Francisco (57193616923)","57192814243; 58899200100; 57205096036; 57193616923","Scanning application for the study, preservation and exploitation of heritage tourism: A case study of a set of underground cellars - Declared Spanish good of cultural interest (BIC); [Aplicación de la digitalización para el estudio, conservación y explotación turística del patrimonio: Un caso práctico de un conjunto de bodegas subterráneas - Declaradas Bien de Interés Cultural (BIC)]","2017","Arte, Individuo y Sociedad","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015232325&doi=10.5209%2fARIS.52481&partnerID=40&md5=1a3f8b808b4830da52560c1e26a6d228","Spanish","Article","Scopus"
"da Cunha M.B.","da Cunha, Murilo Bastos (55667284400)","55667284400","Digitization: urgent goal for libraries; [Digitalização: meta urgente para as bibliotecas]; [Digitalización: objetivo urgente para las bibliotecas]","2022","Revista Ibero-Americana de Ciencia da Informacao","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188701877&doi=10.26512%2frici.v15.n1.2022.41976&partnerID=40&md5=44e4c20da061dce43e95447552833850","Portuguese","Editorial","Scopus"
"Díaz M.M.; García J.I.R.","Díaz, Marta Magadán (39261881200); García, Jesús I. Rivas (57205462154)","39261881200; 57205462154","Adaptation of the book industry in Spain to technological change. Past, present and future of digitization; [Adaptación de la industria del libro en España al cambio tecnológico: Pasado, presente y futuro de la digitalización]","2019","Informacion, Cultura y Sociedad","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070234529&doi=10.34096%2fics.i40.4996&partnerID=40&md5=8b9413328d61c57a9b4d9627ae66655a","Spanish","Article","Scopus"
"Robledano-Arillo J.; Moreno-Pelayo V.; Pereira-Uzal J.M.","Robledano-Arillo, Jesús (55775368000); Moreno-Pelayo, Valentín (36901636100); Pereira-Uzal, José Manuel (55880396300)","55775368000; 36901636100; 55880396300","Experimental approach to the use of objective metrics for estimating chromatic quality in the digitization of graphical documents; [Aproximación experimental al uso de métricas objetivas para la estimación de calidad cromática en la digitalización de patrimonio documental gráfico]","2016","Revista Espanola de Documentacion Cientifica","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973165116&doi=10.3989%2fredc.2016.2.1249&partnerID=40&md5=81da2c58574630db2b3377129b226bea","Spanish","Article","Scopus"
"Iturbe A.; Cachero R.; Cañal D.; Martos A.","Iturbe, Andoni (57200227933); Cachero, Rocío (56543760300); Cañal, David (57200227232); Martos, Antonio (56081844600)","57200227933; 56543760300; 57200227232; 56081844600","Virtual digitization of caves with parietal paleolithic art from Bizkaia. Scientific analysis and dissemination through new visualization techniques; [Digitalización de cuevas con arte paleolítico parietal de Bizkaia. Análisis científico y divulgación mediante nuevas técnicas de visualización]","2018","Virtual Archaeology Review","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040343984&doi=10.4995%2fvar.2018.7579&partnerID=40&md5=19d8ae559ef5219c87c64dc3125d8103","English","Article","Scopus"
"Verde Arregoitia L.D.; Teta P.; D'Elía G.","Verde Arregoitia, Luis D. (55808784600); Teta, Pablo (23006733500); D'Elía, Guillermo (22233766300)","55808784600; 23006733500; 22233766300","Patterns in research and data sharing for the study of form and function in caviomorph rodents","2020","Journal of Mammalogy","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088165799&doi=10.1093%2fjmammal%2fgyaa002&partnerID=40&md5=f47539adb85424a43e91b74b2894ed97","English","Article","Scopus"
"Suárez-Guerrero C.; Lloret-Catalá C.","Suárez-Guerrero, Cristóbal (38062132100); Lloret-Catalá, Carmen (57191502249)","38062132100; 57191502249","The Digitalization of Education in Pandemic. A Peruvian Teacher's Perspective; [La Digitalización de la Educación en Pandemia. Mirada del Docente Peruano]","2022","REICE. Revista Iberoamericana Sobre Calidad, Eficacia y Cambio en Educacion","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148288844&doi=10.15366%2freice2022.20.4.007&partnerID=40&md5=45fd0baba3b6972654d98c2b9da7cb6d","Spanish","Article","Scopus"
"Oliver A.G.-A.; Vicente H.C.; Terré A.M.; Anchuela Ó.P.","Oliver, Andrés García-Arilla (57226364187); Vicente, Héctor Conget (57226358818); Terré, Alejandro Moreno (57226358231); Anchuela, Óscar Pueyo (30267793100)","57226364187; 57226358818; 57226358231; 30267793100","Analysis of the composition and carving depth of the Luna-Valpalmas stela through structured light 3D scanning; [Análisis compositivo y de profundidad de los grabados de la estela de Luna-Valpalmas mediante digitalización 3D por luz estructurada]","2021","Complutum","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111275207&doi=10.5209%2fCMPL.76448&partnerID=40&md5=09f591462db4d118caeb3891f151e0f4","Spanish","Article","Scopus"
"Noriega J.B.; Tisnado P.M.; Mamani R.A.M.; Tupayachi C.R.R.","Noriega, Juan Benítez (58111050900); Tisnado, Paul Mamani (58110825600); Mamani, Ricardo Aníbal Maldonado (58110592600); Tupayachi, Christian Rolando Rodríguez (58110666500)","58111050900; 58110825600; 58110592600; 58110666500","THE ADMINISTRATION OF JUSTICE IN PERU, ITS DIGITALIZATION DURING THE COVID-19 PANDEMIC; [LA ADMINISTRACIÓN DE JUSTICIA EN EL PERÚ, SU DIGITALIZACIÓN DURANTE LA PANDEMIA COVID-19]","2023","Universidad y Sociedad","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148502142&partnerID=40&md5=5eda3249fc3c9c2cff10eb63983285e9","Spanish","Article","Scopus"
"Aramayo R.R.; Roldán C.","Aramayo, Roberto R. (35774344100); Roldán, Concha (55542610000)","35774344100; 55542610000","The progressive digitization of Isegoria; [La progresiva digitalización de Isegoria]","2023","Isegoria","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174937908&doi=10.3989%2fisegoria.2023.68.01&partnerID=40&md5=ea7b74d62a53117056904dfe20c3486a","Spanish","Editorial","Scopus"
"Pérez-Ayala M.A.","Pérez-Ayala, Manuel Antonio (57192716425)","57192716425","Digitalization of communication and attention to LGBTIQ+ people: Two emerging ethical conflicts for psychology in Chilean Primary Health Care; [Digitalització de la comunicació i atenció a persones LGBTIQ+: dos conflictes ètics emergents per a la psicologia en l'Atenció Primària de Salut xilena]; [Digitalización de la comunicación y atención a personas LGBTIQ+: dos conflictos éticos emergentes para la psicología en la Atención Primaria de Salud chilena]","2023","Revista de Bioetica y Derecho","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176808924&doi=10.1344%2frbd2023.59.41189&partnerID=40&md5=03c9b2a25d7609dcbc5ecd1eff8ce059","Spanish","Article","Scopus"
"Palomeque M.C.","Palomeque, Manuel Carlos (57203882753)","57203882753","La digitalización plena de Trabajo y Derecho","2020","Trabajo y Derecho","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126730449&partnerID=40&md5=9907d9c19aaee37cb9f8ec06a8d96213","Spanish","Note","Scopus"
"ROCA M.J.","ROCA, MARÁA JOSÉ (59123098800)","59123098800","The Bundestag Parliamentary Committees On Digitalization And Artificial Intelligence: Two Forms Of Technical Advice To The Legislature; [LAS COMISIONES PARLAMENTARIAS DE DIGITALIZACIÓN Y DE INTELIGENCIA ARTIFICIAL DEL BUNDESTAG: DOS FORMAS DE ASESORAMIENTO TÉCNICO AL PODER LEGISLATIVO]","2023","Teoria y Realidad Constitucional","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192822742&doi=10.5944%2ftrc.52.2023.39019&partnerID=40&md5=e4999eac0eff387acd0d3e4a16d28e72","English","Article","Scopus"
